"Date","GEW93","GEW94","MA94","MAZW","UM94","UMZW"
1-01-01,615,895,330600,-8.7,104075,6.5
2-01-01,2002,1993,382000,-2.3,84599,3.6
3-01-01,1528,3918,66600,-21.2,82280,-5.2
4-01-01,-1940,150,243600,-6.2,80042,4.5
5-01-01,3215,3870,304000,3,73670,6.4
6-01-01,340,518,197600,-5.9,70714,9.3
7-01-01,3232,3881,212700,1.4,67541,-1
8-01-01,1013,1530,126900,-1.1,64992,6
9-01-01,-1607,-328,225400,-2.4,61201,3.7
10-01-01,-877,152,255000,-2.3,60970,11
11-01-01,312,355,89500,-5,60746,-1
12-01-01,1749,1895,253000,3.5,54392,3.7
13-01-01,621,278,117000,-1.3,53616,3.3
14-01-01,3112,3269,173500,-8.8,52514,1.8
15-01-01,269,1083,138300,-1,52223,5.2
16-01-01,438,3273,91500,-14,51040,-5.9
17-01-01,751,1363,169800,-1.6,49637,7.8
18-01-01,2048,1060,197000,0.3,49036,7.2
19-01-01,-409,908,139800,-2.8,48614,14.3
20-01-01,111,1227,207600,0.5,47938,5
21-01-01,1040,1113,118000,3.8,46057,2.1
22-01-01,927,979,215300,5.4,45677,5.8
23-01-01,756,1284,106300,-5.1,43675,7.7
24-01-01,1363,1970,146700,-2.5,43419,5.9
25-01-01,513,679,73100,2.9,42126,45.2
26-01-01,1392,1374,168000,8.4,41711,12.3
27-01-01,873,622,90300,10.8,39868,10.6
28-01-01,-987,90,131900,-6.5,34948,4.3
29-01-01,424,513,156000,-5.8,34478,6.2
30-01-01,1609,1914,135000,-0.9,33983,13.3
31-01-01,3079,4484,165700,-9.5,33977,3.3
32-01-01,359,1040,101800,-3.8,33593,10.8
33-01-01,-1618,-994,132000,2,32998,14.3
34-01-01,-731,2774,75500,2.6,32685,40.2
35-01-01,457,-1399,41000,-38.8,31777,-44.1
36-01-01,-509,340,124900,-2.2,30397,8.7
37-01-01,420,612,141000,17.5,30092,10
38-01-01,687,1528,96700,9.9,29362,24.6
39-01-01,299,1119,86000,3.8,28957,22
40-01-01,33,36,500,23.4,6018,7.6
41-01-01,84,106,38800,-1.3,6012,2.7
42-01-01,227,207,24100,3.1,6010,6.4
43-01-01,223,228,14000,0.9,6005,14.8
44-01-01,-117,-8,11000,-20,5964,16.9
45-01-01,40,127,9700,8,5957,7.9
46-01-01,351,399,27900,5.7,5909,11.4
47-01-01,104,115,47100,2.7,5895,12.9
48-01-01,-100,83,20300,-6.3,5893,-0.2
49-01-01,121,131,35400,11.2,5887,25.3
50-01-01,102,96,18900,0.2,5880,4.7
51-01-01,1286,1424,14400,12.3,5878,24
52-01-01,236,246,18200,2,5868,4.3
53-01-01,129,-92,17100,3.6,5857,15.9
54-01-01,288,280,18300,-1.1,5838,17.3
55-01-01,4,27,1400,8.8,5811,42.8
56-01-01,88,79,1200,-41.5,5751,-8.7
57-01-01,737,862,13500,19.8,5738,23.2
58-01-01,171,319,26000,-1.7,5697,7.3
59-01-01,459,472,26900,0.6,5678,5.5
60-01-01,-23,23,25900,-3.9,5665,-3.3
61-01-01,188,184,34200,6.9,5628,5.4
62-01-01,457,687,18600,-6.5,5546,7.1
63-01-01,-232,-666,23700,-1.2,5534,-3.3
64-01-01,148,526,14700,4.8,5494,16.3
65-01-01,42,73,9400,1.5,5490,11.7
66-01-01,426,430,39700,-3.2,5465,4.4
67-01-01,-84,92,16000,-5.5,5417,9
68-01-01,106,-547,18100,-15.1,5354,-4.9
69-01-01,225,136,76400,-0.5,5352,-11.9
70-01-01,257,286,42800,5.1,5327,6.8
71-01-01,-165,27,24100,23.2,5302,79.4
72-01-01,225,511,27600,-0.1,5302,16.1
73-01-01,217,286,18500,-2.6,5294,6.8
74-01-01,814,779,9100,-1.8,5287,4
75-01-01,13,13,16700,8.8,5258,-0.1
76-01-01,148,476,25400,-18,5242,-4.5
77-01-01,-190,1e-37,25400,-9.6,6018,-2
78-01-01,207,1e-37,30500,1.4,6066,5.6
79-01-01,125,1e-37,10200,-2.4,5235,-0.3
80-01-01,1037,1e-37,16500,-12,28230,7.5
81-01-01,1806,1e-37,74000,4.2,27825,14.7
